p,partial_sum_inv_p
73259,1.4190971526526792
73421,1.4191107727341272
73523,1.4191243739201507
73553,1.4191379695586699
73589,1.4191515585461545
73613,1.41916514310323
73673,1.4191787165969114
73709,1.419192283461202
73751,1.4192058425993832
73823,1.4192193885132582
74099,1.4192328839720363
74201,1.4192463608793555
74219,1.419259834518181
74363,1.4192732820660208
74381,1.4192867263595903
74699,1.4193001134196581
74729,1.4193134951054829
74759,1.419326871421378
74771,1.4193402455905078
74933,1.4193535908456023
75041,1.4193669168940293
75149,1.419380223790994
75161,1.4193935285634158
75329,1.419406803663311
75353,1.4194200745350745
75389,1.4194333390696883
75479,1.4194465877878748
75503,1.4194598322947156
75689,1.4194730442541814
75821,1.4194862332123857
75833,1.4194994200835367
75941,1.419512588200891
75983,1.4195257490394997
76001,1.4195389067611086
76031,1.4195520592909978
76091,1.4195652014497289
76259,1.419578314656039
76283,1.419591423736699
76421,1.4196045091451601
76679,1.4196175505254598
76781,1.4196305745808901
76871,1.4196435833878525
76943,1.4196565800217242
77243,1.4196695261786576
77261,1.41968246931944
77471,1.4196953773753578
77513,1.4197082784371151
77543,1.4197211745076823
77699,1.4197340446861917
77711,1.4197469128773101
77813,1.4197597642003539
77849,1.419772609580513
78059,1.419785420403096
78173,1.4197982125436048
78233,1.4198109948733122
78311,1.4198237644714529
78341,1.4198365291795878
78509,1.419849266572753
78623,1.4198619854972407
78653,1.4198746995704483
78713,1.4198874039521896
78779,1.4199000976903686
78839,1.419912781768046
79151,1.419925415847211
79181,1.4199380451395918
79259,1.4199506620032918
79283,1.4199632750477023
79349,1.4199758776009797
79379,1.4199884753913272
79433,1.4200010646174674
79559,1.4200136339056686
79589,1.420026198456046
79613,1.4200387592187356
79769,1.4200512954170081
79811,1.420063825018191
79841,1.4200763499114162
79889,1.420088867279264
80039,1.4201013611884832
80309,1.420113813093002
80369,1.4201262557014704
80651,1.4201386548037753
80669,1.4201510511394184
80681,1.4201634456313061
80819,1.4201758189593603
81071,1.4201881538263288
81131,1.4202004795711118
81281,1.4202127825693525
81509,1.4202250511531898
81563,1.4202373116144282
81611,1.4202495648646027
81629,1.4202618154128148
81701,1.4202740551650823
81839,1.4202862742782192
81929,1.420298479968512
82073,1.4203106642434868
82139,1.4203228387282019
82193,1.420335005214399
82223,1.4203471672615149
82493,1.42035928950219
82499,1.4203714108612366
82529,1.4203835278140653
82601,1.420395634205029
82721,1.4204077230337424
82763,1.4204198057276998
82793,1.4204318840434995
82889,1.420443948370491
83243,1.4204559613926069
83339,1.4204679605766624
83399,1.4204799511281079
83423,1.4204919382299863
83459,1.420503920161234
83579,1.4205158848892159
83813,1.420527816212519
83873,1.4205397390005436
83939,1.4205516524138557
84011,1.4205635556170078
84131,1.4205754418420615
84263,1.4205873094470602
84299,1.4205991719839823
84401,1.420611020184833
84431,1.420622864175784
84443,1.4206347064836131
84449,1.4206465479500603
84503,1.4206583818494485
84509,1.4206702149086492
84533,1.420682044608293
84629,1.4206938608887643
84653,1.4207056738191979
84659,1.420717485912419
84713,1.4207292904760633
84761,1.4207410883548048
85049,1.4207528462825876
85061,1.420764602551618
85103,1.4207763530186992
85121,1.4207881010009833
85133,1.4207998473273198
85223,1.4208115812489137
85313,1.4208233027919377
85523,1.4208349955529493
85601,1.4208466776594668
85691,1.4208583474964391
85733,1.4208700116164397
85829,1.4208816626900862
85853,1.420893310506703
85931,1.4209049477505382
86111,1.4209165606687484
86171,1.4209281655010004
86291,1.4209397541950706
86441,1.4209513227794228
86771,1.4209628473671307
86843,1.4209743624000062
87071,1.4209858472801615
87149,1.4209973218811323
87221,1.421008787009943
87299,1.4210202418948787
87383,1.421031685768401
87539,1.4210431092482216
87701,1.4210545116267579
87959,1.421065880560011
88079,1.4210772340040783
88463,1.42108853816514
