t,phi,lhs,rhs,rel_err
0.7731296044629651,1.840953071381016,0.9743980280834867,0.9743980280834867,0.0
0.8385264320365317,0.8834194213841382,0.9591971209868868,0.9591971209868868,0.0
0.8060440698394988,6.1783801232208315,0.19037309052630802,0.19037309052630721,2.1140374688144486e-15
0.7933601039202559,1.5200629995049766,0.9724330006382451,0.9724330006382452,5.708480809970838e-17
0.1887116597182017,4.864074344418004,0.3274054521960187,0.3274054521960186,1.6954864636164683e-16
0.904470602480478,4.321469627978833,0.9963603447253856,0.9963603447253859,1.6714179219936036e-16
0.47844055647252703,3.108671711212259,0.8755190423127465,0.8755190423127466,6.340370517198704e-17
0.7550249745600962,1.7916551406061623,0.9684287220161366,0.9684287220161365,5.732084351617658e-17
0.6221484702955659,2.8123849397857423,0.9443286211155268,0.9443286211155271,1.1756744419264346e-16
0.08404634299011685,4.828307556629435,0.15051424454413886,0.15051424454413895,2.7660746362935914e-16
0.08924407052907346,3.8417353133589907,0.2752268070345234,0.27522680703452346,1.0084619268989797e-16
0.3849058668615877,0.6744176380820983,0.3081769749702067,0.30817697497020685,2.701912654406988e-16
0.35476300648582376,0.17808963908195863,0.026246888945183566,0.02624688894518356,1.3218507378910808e-16
0.1958233639769099,4.217978790441274,0.4717314496464161,0.4717314496464159,2.3535064822523893e-16
0.021714980201458567,4.024561833234061,0.06906507469527834,0.06906507469527834,0.0
0.2696746978975439,3.7229444907561096,0.6498946369913211,0.6498946369913207,3.4166246693923193e-16
0.17555207420264382,5.015770331258251,0.26590898091842663,0.2659089809184267,1.0437998566187406e-16
0.5598632712489316,1.0497790919633612,0.7437862671524065,0.7437862671524065,0.0
0.09734833778757121,1.8391171770242156,0.23213156938400825,0.23213156938400803,4.782731739466891e-16
0.48670958907848855,5.4456825371739015,0.5499036705318692,0.5499036705318692,0.0
0.9118587159940602,3.8217829769548133,0.9976090887241895,0.9976090887241896,5.56441915562831e-17
0.55119817973546,3.218480402206974,0.9161770612115142,0.9161770612115144,1.2117996309109114e-16
0.773513083594957,0.11928387906352214,0.1764828701230503,0.1764828701230511,2.280424418222638e-15
0.35581696404765334,3.5755609202391194,0.765853518309267,0.7658535183092671,7.248272666267404e-17
0.22365795255087362,3.2643738998018903,0.5965739331151458,0.596573933115146,9.304991074851995e-17
0.567039030732721,4.962396580845415,0.8199190264164976,0.8199190264164975,6.770321146695723e-17
0.8881001851333141,5.458026792365961,0.9785470425527525,0.9785470425527523,1.1345627510445475e-16
0.8232139468655484,5.7423413369897895,0.8826125449168857,0.8826125449168857,0.0
0.9758944808266711,1.6014175757606142,0.9997112130200974,0.9997112130200976,1.1105437351964936e-16
0.20716679948839556,5.971638762656169,0.030755316153461276,0.030755316153461186,1.466504527228574e-15
0.28795312749782315,4.2068360493392385,0.6276971329437894,0.6276971329437896,1.76872406508917e-16
0.24233872642853427,5.025264687140056,0.36886047363379426,0.36886047363379443,2.257404433350974e-16
0.6321541444170643,2.7646643502916968,0.9474557185875332,0.9474557185875332,0.0
0.6759510566858541,5.141430685858425,0.8826098724253268,0.8826098724253272,1.8868297182780832e-16
0.8281477933441493,3.638135629436195,0.9906008183975297,0.9906008183975297,0.0
0.04058295694702261,2.698641041470837,0.14372230496134697,0.14372230496134714,5.793584153084704e-16
0.5356600185109848,4.177779557258119,0.8823578077227203,0.8823578077227203,0.0
0.6777758231222194,1.9400678878196818,0.9467177061850297,0.9467177061850299,1.172707574150061e-16
0.4947338802715901,0.9899823909976778,0.6362486268461207,0.6362486268461207,0.0
0.7509257496763301,2.703530947397048,0.9787826682097687,0.9787826682097687,0.0
0.8581405569479849,1.2530384195198174,0.983232355578195,0.9832323555781949,5.645781581161881e-17
0.8191390047694548,5.510171403103098,0.9343546226046618,0.9343546226046622,1.7823367024132125e-16
0.0021804735636479855,4.667168582879231,0.004557163636513595,0.00455716363651348,1.2561733409913419e-14
0.3021224737151911,1.8923585320896106,0.620172818321048,0.620172818321048,0.0
0.6254957213944593,4.805689829758682,0.8899710215351435,0.8899710215351436,6.237411094071874e-17
0.019629017022252726,1.3916218269107319,0.0324762772832724,0.03247627728327274,5.234679429630619e-15
0.3602291675730375,4.00102643922454,0.744203787241431,0.7442037872414309,7.459133127637414e-17
0.34182113083728666,4.5672613527101085,0.6436652442408861,0.6436652442408863,1.7248453828426147e-16
0.716198975862851,0.004155701447681744,0.00015354198312078626,0.0001535419831207146,2.3337513996068277e-13
0.7418579247035746,0.7012760927907336,0.840108279609777,0.8401082796097767,1.321523726847265e-16
0.530653222134351,2.367421074374674,0.8920390918379473,0.8920390918379469,1.8668851535491553e-16
0.4729433128792957,1.1756188346831922,0.6768152681326802,0.6768152681326801,8.201817223244975e-17
0.8240096098645671,5.1366930962610144,0.9690436110183627,0.9690436110183627,0.0
0.809198218415685,5.060765896168598,0.9669740725419471,0.9669740725419472,5.740707306177515e-17
0.706436685193684,0.7065792846587924,0.7969570825453154,0.7969570825453152,1.3930775557942654e-16
0.6507213610592911,2.9518173888683634,0.9548418079083704,0.9548418079083705,5.813649001488302e-17
0.4202607567182454,0.30659487245948597,0.10444137435252732,0.10444137435252727,1.9931451343658002e-16
0.6572222212096397,0.14927469927317832,0.11064411408598085,0.1106441140859807,6.898499172189646e-16
0.41087723866894305,1.517097663736491,0.6914188242380679,0.6914188242380679,0.0
0.8607419740669131,5.895413268852133,0.8682611991465679,0.8682611991465677,6.393370023423931e-17
0.8128904893182874,2.6408126590323535,0.9886586802354163,0.9886586802354165,1.122958860140482e-16
0.034967152933063364,3.2396491611681784,0.13030437452917354,0.13030437452917318,1.384537105169837e-15
0.7616512176323013,5.5185630031736,0.8818500121858184,0.8818500121858184,0.0
0.4359144354198284,5.550913175581325,0.4125815885724836,0.4125815885724842,7.400023176707503e-16
0.2665461180497873,5.018810014690682,0.408997266737292,0.4089972667372921,1.3572499316215202e-16
0.44132184256961415,1.1785461790723888,0.6359498679635681,0.6359498679635684,2.6186569426776534e-16
0.32122183800716,1.376590775884304,0.5294733172846076,0.5294733172846077,1.0484220718797609e-16
0.5150490970787643,5.779421194838269,0.3523865648613924,0.3523865648613926,2.362937045560713e-16
0.06054847355659851,2.6221367752139204,0.20402430536843097,0.20402430536843083,3.401013370135898e-16
