p,p_mod_20,principal,nonprincipal
8681,1,True,False
8689,9,True,False
8707,7,False,True
8741,1,True,False
8747,7,False,True
8761,1,True,False
8783,3,False,True
8803,3,False,True
8807,7,False,True
8821,1,True,False
8849,9,True,False
8861,1,True,False
8863,3,False,True
8867,7,False,True
8887,7,False,True
8923,3,False,True
8929,9,True,False
8941,1,True,False
8963,3,False,True
8969,9,True,False
9001,1,True,False
9007,7,False,True
9029,9,True,False
9041,1,True,False
9043,3,False,True
9049,9,True,False
9067,7,False,True
9103,3,False,True
9109,9,True,False
9127,7,False,True
9161,1,True,False
9181,1,True,False
9187,7,False,True
9203,3,False,True
9209,9,True,False
9221,1,True,False
9227,7,False,True
9241,1,True,False
9281,1,True,False
9283,3,False,True
9323,3,False,True
9341,1,True,False
9343,3,False,True
9349,9,True,False
9403,3,False,True
9421,1,True,False
9461,1,True,False
9463,3,False,True
9467,7,False,True
9521,1,True,False
9547,7,False,True
9587,7,False,True
9601,1,True,False
9623,3,False,True
9629,9,True,False
9643,3,False,True
9649,9,True,False
9661,1,True,False
9689,9,True,False
9721,1,True,False
9743,3,False,True
9749,9,True,False
9767,7,False,True
9769,9,True,False
9781,1,True,False
9787,7,False,True
9803,3,False,True
9829,9,True,False
9883,3,False,True
9887,7,False,True
9901,1,True,False
9907,7,False,True
9923,3,False,True
9929,9,True,False
9941,1,True,False
9949,9,True,False
9967,7,False,True
10007,7,False,True
10009,9,True,False
10061,1,True,False
10067,7,False,True
10069,9,True,False
10103,3,False,True
10141,1,True,False
10163,3,False,True
10169,9,True,False
10181,1,True,False
10223,3,False,True
10243,3,False,True
10247,7,False,True
10267,7,False,True
10289,9,True,False
10301,1,True,False
10303,3,False,True
10321,1,True,False
10343,3,False,True
10369,9,True,False
10427,7,False,True
10429,9,True,False
10463,3,False,True
10487,7,False,True
10501,1,True,False
10529,9,True,False
10567,7,False,True
10589,9,True,False
10601,1,True,False
10607,7,False,True
10627,7,False,True
10663,3,False,True
10667,7,False,True
10687,7,False,True
10709,9,True,False
10723,3,False,True
10729,9,True,False
10781,1,True,False
10789,9,True,False
10847,7,False,True
10861,1,True,False
10867,7,False,True
10883,3,False,True
10889,9,True,False
10903,3,False,True
10909,9,True,False
10949,9,True,False
10987,7,False,True
11003,3,False,True
11027,7,False,True
11047,7,False,True
11069,9,True,False
11083,3,False,True
11087,7,False,True
11149,9,True,False
11161,1,True,False
11243,3,False,True
11261,1,True,False
11287,7,False,True
11321,1,True,False
11329,9,True,False
11369,9,True,False
11383,3,False,True
11423,3,False,True
11443,3,False,True
11447,7,False,True
11467,7,False,True
11483,3,False,True
11489,9,True,False
11503,3,False,True
11527,7,False,True
11549,9,True,False
11587,7,False,True
11621,1,True,False
11681,1,True,False
11689,9,True,False
11701,1,True,False
11743,3,False,True
11783,3,False,True
11789,9,True,False
11801,1,True,False
11807,7,False,True
11821,1,True,False
11827,7,False,True
11863,3,False,True
11867,7,False,True
11887,7,False,True
11903,3,False,True
11909,9,True,False
11923,3,False,True
11927,7,False,True
11941,1,True,False
11969,9,True,False
11981,1,True,False
11987,7,False,True
12007,7,False,True
12041,1,True,False
12043,3,False,True
12049,9,True,False
12101,1,True,False
12107,7,False,True
12109,9,True,False
12143,3,False,True
12149,9,True,False
12161,1,True,False
12163,3,False,True
12203,3,False,True
12227,7,False,True
12241,1,True,False
12263,3,False,True
12269,9,True,False
12281,1,True,False
12289,9,True,False
12301,1,True,False
12323,3,False,True
12329,9,True,False
12343,3,False,True
